total 4388
drwxr-xr-x 12 user user   12288 Jan  2 03:56 .
drwxr-xr-x 20 root root    4096 Dec 15 10:10 ..
drwxr-xr-x  8 root root    4096 Jan  2 03:56 .git
-rw-r--r--  1 root root     253 Jan  2 03:56 .gitignore
-rw-r--r--  1 root root      24 Jan  2 03:56 .last-sync
-rw-r--r--  1 root root    6448 Jan  2 03:56 AC_HISTORY_IMPLEMENTATION_SUMMARY.md
-rw-r--r--  1 root root    3648 Jan  2 03:56 AC_HISTORY_SETUP.md
-rw-r--r--  1 root root    9229 Jan  2 03:56 AUDIT_BUTTONS_COMPLETE.md
-rw-r--r--  1 root root    3949 Jan  2 03:56 AUDIT_BUTTONS_SIDEBAR_FIX.md
-rw-r--r--  1 root root    4664 Jan  2 03:56 AUDIT_BUTTON_IMPLEMENTATION_PLAN.md
-rw-r--r--  1 root root    4390 Jan  2 03:56 AUDIT_DEBOUNCE_IMPLEMENTATION.md
-rw-r--r--  1 root root    4295 Jan  2 03:56 AUDIT_DEBOUNCING.md
-rw-r--r--  1 root root    5782 Jan  2 03:56 AUDIT_DETAILED_FIELD_TRACKING.md
-rw-r--r--  1 root root    6472 Jan  2 03:56 AUDIT_FIXES_SUMMARY.md
-rw-r--r--  1 root root    4414 Jan  2 03:56 AUDIT_IMPLEMENTATION_COMPLETE.md
-rw-r--r--  1 root root    8792 Jan  2 03:56 AUDIT_IMPLEMENTATION_SUMMARY.md
-rw-r--r--  1 root root    8385 Jan  2 03:56 AUDIT_LOGGING_IMPLEMENTATION_SUMMARY.md
-rw-r--r--  1 root root    4641 Jan  2 03:56 AUDIT_LOGGING_TODO.md
-rw-r--r--  1 root root    4146 Jan  2 03:56 AUDIT_PHASE1_IMPLEMENTATION.md
-rw-r--r--  1 root root    4230 Jan  2 03:56 AUDIT_PRIORITIES_PAGE.md
-rw-r--r--  1 root root    5742 Jan  2 03:56 AUDIT_SYSTEM_IMPROVEMENTS.md
-rw-r--r--  1 root root    6767 Jan  2 03:56 AUDIT_SYSTEM_INTEGRATION_GUIDE.md
-rw-r--r--  1 root root    2378 Jan  2 03:56 AUDIT_TODO.md
-rw-r--r--  1 root root  454200 Jan  2 03:56 App.tsx
-rw-r--r--  1 root root  409344 Jan  2 03:56 App.tsx.backup
-rw-r--r--  1 root root  238574 Jan  2 03:56 App.tsx.backup_before_v2
-rw-r--r--  1 root root  412937 Jan  2 03:56 App.tsx.original
-rw-r--r--  1 root root    1017 Jan  2 03:56 App_debug.tsx
-rw-r--r--  1 root root    8767 Jan  2 03:56 BUILD_ANALYSIS_ENHANCEMENT.md
-rw-r--r--  1 root root    9144 Jan  2 03:56 BUILD_ANALYSIS_IMPLEMENTATION_PLAN.md
-rw-r--r--  1 root root    7876 Jan  2 03:56 BUILD_ANALYSIS_INTEGRATION_COMPLETE.md
-rw-r--r--  1 root root   10829 Jan  2 03:56 BUILD_RESULTS_ANALYSIS_COMPLETE.md
-rw-r--r--  1 root root    1938 Jan  2 03:56 COMMIT_SUMMARY.md
-rw-r--r--  1 root root    3160 Jan  2 03:56 DAY_NIGHT_SCHEDULING_ISSUE.md
-rw-r--r--  1 root root    7350 Jan  2 03:56 DAY_NIGHT_SEPARATION_HARD_WIRED.md
-rw-r--r--  1 root root    7568 Jan  2 03:56 DEPLOYED_RESOURCE_LINE_IMPLEMENTATION.md
-rw-r--r--  1 root root    5437 Jan  2 03:56 DEPLOYMENT_CHECKLIST.md
-rw-r--r--  1 root root    2154 Jan  2 03:56 DEPLOYMENT_GUIDE.md
-rw-r--r--  1 root root    3236 Jan  2 03:56 DEPLOYMENT_LEGS_REMOVAL.md
-rw-r--r--  1 root root    5918 Jan  2 03:56 DEPLOYMENT_RESOURCE_LINE_CHANGE.md
-rw-r--r--  1 root root    1689 Jan  2 03:56 DRAG_COLLAPSE_ANALYSIS.md
